comparison,baseline,candidate,instance,paired_runs,baseline_median_fitness,candidate_median_fitness,quality_ratio,baseline_mean_raw_function_evaluations,candidate_mean_raw_function_evaluations,raw_fe_ratio,baseline_mean_best_found_function_evaluations,candidate_mean_best_found_function_evaluations,best_found_fe_ratio,runtime_ratio,final_robust_stdev_ratio,final_R_delta,quality_outcome,raw_fe_outcome
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,0_BehnkeGeiger_42_workers.fjs,10,184.0975000921445,184.46865211881368,1.0020160622848404,4999992,4999992,1.0,3618865.2,4359708,1.204716881966203,0.9999996802073804,0.8927302795237823,-0.004794417477544499,loss,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,0_BehnkeGeiger_46_workers.fjs,10,283.68909401007284,288.6683006658633,1.0175516322654745,4999992,4999992,1.0,3625256.4,4198632,1.1581613923914458,1.000000926682446,1.0160299393454304,-0.0008168602236011679,loss,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,0_BehnkeGeiger_60_workers.fjs,10,1871.3287582374073,1743.0032256678935,0.9314254472899872,455364,580687.2,1.2752154320499642,289615.2,337490.4,1.1653062408326635,1.0000092302431771,0.9366044831252485,0.007918003916465022,win,loss
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,1_Brandimarte_12_workers.fjs,10,1103.0525717991518,1149.464680461301,1.0420760622374037,4425673.2,4286708.4,0.9686003024353448,1931240.4,1808493.6,0.9364414704663387,0.9999966300973823,1.078750858640596,-0.0007118326500781258,loss,win
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,1_Brandimarte_14_workers.fjs,10,1478.416176413982,1444.0864675517928,0.9767794012201229,2998045.2,3042517.2,1.0148336656165158,936762,1029355.2,1.0988438899101372,1.000003271092878,1.0094434079694665,-0.002965979721207823,win,loss
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,1_Brandimarte_7_workers.fjs,10,368.95521394753905,367.50018821018944,0.9960563621752843,4999992,4999992,1.0,2830322.4,1936681.2,0.6842616940034817,1.000000776338744,0.994671702247213,-0.0027964557983701788,win,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2a_Hurink_sdata_18_workers.fjs,10,2832.3318069547167,2770.9287426425008,0.9783206670343346,4999992,4999992,1.0,1298019.6,2108283.6,1.6242309438162568,0.9999989202108465,0.9120739387087917,0.004562907121052007,win,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2a_Hurink_sdata_1_workers.fjs,10,113.07410936989601,113.33264079843823,1.0022863892537637,4999992,4999992,1.0,3065318.4,2630907.6,0.8582819977200411,1.0000006746125982,0.950091705500744,-0.003497049216744319,loss,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2a_Hurink_sdata_38_workers.fjs,10,5096.064604845183,4899.537114668354,0.961435439811737,1413840,1703204.4,1.2046655915803768,692172,763926,1.1036649850037275,1.0000005051193803,0.9293058027804275,-0.0017822384320216322,win,loss
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2a_Hurink_sdata_40_workers.fjs,10,3477.315886547409,3566.979939831458,1.0257854207697754,4160748,4215992.4,1.0132775164465622,1492869.6,1501855.2,1.0060190119753258,1.0000036398328538,1.0456483916867578,-0.004217645695990591,loss,loss
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2a_Hurink_sdata_54_workers.fjs,10,19177.04366048726,18863.899735531195,0.9836708968024476,4999992,4999992,1.0,3567618,3794052,1.063469239139392,0.9999983138674367,0.9186496010356483,-0.001427246500301127,win,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2a_Hurink_sdata_61_workers.fjs,10,1998.862351105839,2012.8253097902598,1.006985452838559,4999992,4999992,1.0,1907762.4,2991457.2,1.568044951509685,1.0000017200535964,0.9622295180154089,-0.0062396678546536855,loss,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2a_Hurink_sdata_63_workers.fjs,10,894.0137648565251,886.8676977373232,0.9920067594033647,4999992,4999992,1.0,3973910.4,2438536.8,0.6136365832505937,0.9999982549468034,0.9196989067898915,-0.004106208545162193,win,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2b_Hurink_edata_1_workers.fjs,10,107.61394198103216,107.63738998682092,1.0002178900368959,4999992,4999992,1.0,2452466.4,3110820,1.268445512648002,1.000001313651712,0.921938731424232,-0.0018293641898550206,loss,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2b_Hurink_edata_6_workers.fjs,10,1259.4319323132618,1246.5865104366926,0.9898006223702973,4999992,4999992,1.0,3166064.4,3718303.2,1.1744243736798279,1.0000004854486708,1.1334030253285126,0.0029679531465971465,win,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2c_Hurink_rdata_28_workers.fjs,10,2073.291867593205,2166.264085418685,1.044842802539619,4999992,4999992,1.0,3251667.6,1575781.2,0.4846070982163121,1.0000018363807386,1.01517339749267,-0.0023813944859454317,loss,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2c_Hurink_rdata_38_workers.fjs,10,4330.072068947751,4423.4764667311665,1.0215710954220014,1547188.8,1866580.8,1.2064337590861567,638071.2,807415.2,1.265399848794304,0.9999963434863227,1.0020409467331823,0.004963459230322709,loss,loss
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2c_Hurink_rdata_50_workers.fjs,10,12984.758185000464,12936.13443155212,0.9962553208341983,4999992,4999992,1.0,2813395.2,2347762.8,0.834494492632958,0.9999995475594363,0.9820405647271302,-0.007748067719648866,win,tie
rl_effect_with_pipeline,hpo_no_rl,hpo_with_rl,2d_Hurink_vdata_18_workers.fjs,10,2405.983650768681,2429.9039022044426,1.0099419841976562,4999992,4999992,1.0,2674204.8,2187934.8,0.8181627674888625,0.9999981155343598,0.9670385707684936,-0.0007184160489877023,loss,tie
