comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,baseline_raw_function_evaluations,candidate_raw_function_evaluations,raw_function_evaluations_ratio,baseline_best_found_function_evaluations,candidate_best_found_function_evaluations,baseline_runtime_s,candidate_runtime_s
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,7,1006,405.56994973169645,371.7492995184785,0.9166095756463419,4999992,4999992,1.0,4169940,2740092,129600.09361553192,129600.17354655266
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,8,1007,357.99835358352846,356.4789151153858,0.9957557389498214,4999992,4999992,1.0,4518108,2832804,129600.26203560829,129600.03563642502
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,9,1008,396.6348627610052,362.92935592296675,0.915021320608552,4999992,4999992,1.0,4995672,4078872,129600.65951156616,129600.07960438728
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,10,1009,425.4859357502078,391.4965563255743,0.9201163268423805,4999992,4999992,1.0,4600188,2323248,129600.74914336205,129600.42867588997
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,1,1000,2989.309490219051,2831.9376976373755,0.9473551356603951,4999992,4999992,1.0,3501528,3070812,129600.47583198547,129600.95225024223
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,2,1001,2807.8097670354828,2895.907545065749,1.0313759781964436,4999992,4999992,1.0,3441588,2209416,129600.6409816742,129601.20767331123
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,3,1002,2836.7759957834264,2653.893481505599,0.9355315631020344,4999992,4999992,1.0,4485972,350628,129600.62063503265,129600.65199899673
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,4,1003,2838.1300425536756,2832.7259162720584,0.9980958848958328,4999992,4999992,1.0,4408944,155544,129600.62259626389,129600.9895658493
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,5,1004,2762.3917744062887,2899.397251540459,1.0495966858877634,4999992,4999992,1.0,4958016,282804,129600.43922710419,129600.30741930008
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,6,1005,2843.89498525806,2683.834629880289,0.9437179093435313,4999992,4999992,1.0,2047740,365868,129600.1804227829,129600.30216765404
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,7,1006,2986.745289654035,2851.121738734768,0.9545915242960082,4999992,4999992,1.0,4315128,202752,129600.33399963379,129600.23750066757
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,2a_Hurink_sdata_18_workers.fjs,8,1007,2831.2835420526653,2633.1098422303176,0.9300057034631463,4999992,4999992,1.0,4055016,2304936,129600.32529091835,129600.2179043293
