comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,improvement_percent,baseline_runtime_s,candidate_runtime_s,baseline_function_evaluations,candidate_function_evaluations,baseline_final_R,candidate_final_R
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,1,1000,1222.3043302293215,1276.7222502972893,1.0445207619102177,-4.45207619102177,10082.605886220932,129600.2794110775,4545930,963012,2.1074212590160717,2.1172839971762674
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,2,1001,1190.087229497309,1201.2763932415203,1.0094019694244913,-0.9401969424491341,10034.453359603882,129600.80251383781,2345890,1694244,2.106349078756299,2.137502479077438
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,3,1002,1284.6019284756985,1230.143385561748,0.9576066782193213,4.239332178067867,10034.036124229431,129600.58794140816,4589960,2350164,2.1198051625011525,2.106409906783815
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,4,1003,1198.3651145554186,1213.7789759664672,1.012862408312651,-1.2862408312650953,10050.868281841278,129600.69088983536,4842210,838836,2.1476077321781695,2.136934816842372
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,5,1004,1266.0281120417396,1182.4070965476344,0.9339501116138341,6.604988838616588,10172.538403272629,129600.42942166328,2936410,3987300,2.127778339565949,2.119009133597911
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,6,1005,1208.266061582171,1215.123106615531,1.0056751118411626,-0.567511184116265,10097.247552871704,129600.22383642197,1457000,911052,2.1086667741399143,2.0878403893737647
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,7,1006,1313.0034733525708,1218.0202348264754,0.9276595679647602,7.234043203523976,10035.77022075653,129600.64266371727,4921680,371616,2.1384421390107016,2.133135262393127
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,8,1007,1228.405810764075,1214.2193831324464,0.9884513509238412,1.1548649076158823,10062.954860687256,129600.651730299,4609820,280920,2.0998389927591026,2.0862875998839288
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,9,1008,1216.3118729363728,1177.0187264136503,0.967694842583537,3.2305157416463004,10081.703619003296,129600.23373317719,4772310,3214752,2.1681138555015558,2.1093525562968645
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,10,1009,1259.985012117914,1233.0644444454656,0.9786342159521425,2.1365784047857495,10061.942926168442,129600.34478831291,1206750,3300672,2.117621869105738,2.1594823895717434
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,1,1000,2827.444009921338,2900.689812109382,1.0259053059692884,-2.5905305969288417,16959.010805606842,129600.79532527924,4926350,4233900,2.121113285762444,2.1250474813988145
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,2,1001,2882.216248877939,2938.706883843348,1.019599721217102,-1.9599721217101962,17009.35125041008,129600.52270960808,4168120,4729404,2.1038074809328022,2.131041975230854
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,3,1002,2917.511969874489,2903.870044266489,0.9953241235172767,0.46758764827232735,17184.067345380783,129600.47948360443,3798740,1894008,2.1452293896135948,2.1196131709974373
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,4,1003,2764.9151041450764,2787.290596740038,1.0080926508598462,-0.8092650859846229,18275.62546491623,129600.7859389782,3761450,4133424,2.156720050035161,2.1277027456030826
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,5,1004,2687.6239851116466,2850.264440703819,1.0605145870453363,-6.05145870453363,17666.203986406326,129600.3659696579,2268310,2426448,2.1279683175864186,2.123893025859776
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,6,1005,2711.7201690742877,2851.3536635979076,1.0514925898756313,-5.149258987563132,17460.154178619385,129600.28710103035,4998110,4960764,2.1285087669342917,2.118390537591313
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,7,1006,2891.9232831473314,3018.625785855888,1.0438125393736808,-4.381253937368079,17031.786366701126,129600.22869801521,4455690,1133136,2.1248517877643875,2.1469600183896786
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,8,1007,2780.3883274353757,2759.405998069268,0.9924534536564317,0.7546546343568328,16229.655694961548,129600.41414237022,3784810,2953356,2.1111528682121303,2.1032057912113324
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,9,1008,3051.917101924744,2736.101217611612,0.896518852325983,10.348114767401695,17250.09663081169,129600.1745557785,4725500,4500636,2.098980125120182,2.1063134854592853
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,10,1009,2851.5086463306916,2837.5625261712007,0.9951092134413,0.4890786558700011,17393.408655405045,129600.07099413872,2321980,4367868,2.118505680780603,2.1383289571749815
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,1,1000,182.32603118169484,184.18815312898977,1.010213143648365,-1.0213143648365008,20357.449500083923,19989.770651102066,3554140,4007770,2.1200701300197076,2.1417227108022066
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,2,1001,192.20967476796582,183.96026385687435,0.957081187921211,4.2918812078789,19966.233690023422,19687.05961894989,3916640,4908600,2.135663052977398,2.0904575438281174
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,3,1002,204.96485423843953,186.2747214790573,0.9088129873346986,9.118701266530138,20203.64484834671,19853.186487674713,1970750,4475130,2.1130397344169025,2.116758198625651
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,4,1003,196.07566020251252,190.518675076943,0.9716589753168235,2.8341024683176452,20257.677788496017,19797.130836725235,4656070,4592790,2.154677584642995,2.1168741675215887
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,5,1004,189.42607700053188,194.62240018999796,1.0274319316101947,-2.743193161019475,20328.427050113678,20038.249888658524,4904730,3623810,2.1283828876464255,2.1154608716304124
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,6,1005,187.6711446628449,192.41427932130335,1.0252736491109466,-2.527364911094665,19999.575818538666,19716.06168961525,2124660,4425480,2.085234940698277,2.1144426299044325
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,7,1006,182.73321683039796,183.7406554290343,1.0055131662218335,-0.551316622183351,20576.705412387848,19945.060429811478,1480330,4239060,2.1248048468650924,2.1119615566555665
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,8,1007,189.98349558297272,202.59307882227742,1.0663719930018745,-6.637199300187446,20310.08421587944,19963.57267642021,3323650,3970550,2.110927728699697,2.1325587244450253
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,9,1008,180.9034876785695,183.33341351754177,1.0134321668982402,-1.3432166898240228,20053.41110086441,19767.6579310894,2005700,2570040,2.1282763256302295,2.131783878110951
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,10,1009,193.85237874907332,191.39187335358304,0.987307324205316,1.2692675794684027,20186.627692222595,19633.414397239685,3523340,3506620,2.1070910733594927,2.1032073994899236
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,1,1000,260.81704769676065,271.66525298805,1.0415931603669635,-4.159316036696348,36694.85664892197,37016.16334748268,4989790,4912020,2.1378446532521367,2.1223847889691405
